キャンペーン名,広告グループ名,ASIN,SKU,商品名,期間開始日,期間終了日,インプレッション数,クリック数,クリック率(%),広告費,広告売上,ACoS(%),ROAS
水筒シリーズ_SP,水筒シルバー_AG,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,2024-01-01,2024-01-31,12500,185,1.48,6050,29000,20.86,4.79
水筒シリーズ_SP,水筒ブラック_AG,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,2024-01-01,2024-01-31,9800,132,1.35,4200,17400,24.14,4.14
スマホ周辺機器_SP,スタンド_AG,B002CCDDEE,SKU-003,シリコン製スマホスタンド,2024-01-01,2024-01-31,18000,290,1.61,3480,14900,23.36,4.28
生活用品_SP,タオル_AG,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,2024-01-01,2024-01-31,7600,98,1.29,1470,7440,19.76,5.06
電子機器_SP,充電器_AG,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,2024-01-01,2024-01-31,15200,198,1.30,7920,25800,30.70,3.26
デスク周辺_SP,ライト_AG,B005KKLLMM,SKU-006,LEDデスクライト USB給電,2024-01-01,2024-01-31,11000,156,1.42,4680,15920,29.40,3.40
日用品_SP,傘_AG,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,2024-01-01,2024-01-31,8200,88,1.07,1320,7920,16.67,6.00
キッチン_SP,ブラシ_AG,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,2024-01-01,2024-01-31,5500,72,1.31,720,4470,16.11,6.21
音響機器_SP,イヤホン_AG,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,2024-01-01,2024-01-31,22000,310,1.41,12400,40800,30.39,3.29
スマホ周辺機器_SP,ホルダー_AG,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,2024-01-01,2024-01-31,9200,115,1.25,2300,7920,29.04,3.44
音響機器_SP,イヤーマフ_AG,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,2024-01-01,2024-01-31,7800,95,1.22,2850,13500,21.11,4.74
キッチン_SP,スポンジ_AG,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,2024-01-01,2024-01-31,12000,175,1.46,1750,12870,13.60,7.35
アウトドア_SP,チェア_AG,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,2024-01-01,2024-01-31,9500,128,1.35,5120,23400,21.88,4.57
電子機器_SP,ハブ_AG,B013GGHHUU,SKU-014,USB-Cハブ 7in1,2024-01-01,2024-01-31,16500,225,1.36,9000,40800,22.06,4.53
デスク周辺_SP,マウスパッド_AG,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,2024-01-01,2024-01-31,10200,142,1.39,4260,17840,23.88,4.19
日用品_SP,バッグ_AG,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,2024-01-01,2024-01-31,6800,85,1.25,850,10890,7.81,12.81
スマホ周辺機器_SP,ケース_AG,B016MMNNRR,SKU-017,防水スマホケース 汎用,2024-01-01,2024-01-31,11500,158,1.37,3160,13930,22.69,4.41
キッチン_SP,ストロー_AG,B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,2024-01-01,2024-01-31,5200,65,1.25,650,5950,10.92,9.15
生活用品_SP,ディフューザー_AG,B018QQRRPP,SKU-019,アロマディフューザー USB式,2024-01-01,2024-01-31,8800,115,1.31,2300,11920,19.30,5.18
美容健康_SP,鼻毛カッター_AG,B019SSTTUQ,SKU-020,電動鼻毛カッター,2024-01-01,2024-01-31,9500,128,1.35,2560,15920,16.08,6.22
水筒シリーズ_SP,水筒シルバー_AG,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,2024-02-01,2024-02-29,13200,202,1.53,7070,34800,20.32,4.92
水筒シリーズ_SP,水筒ブラック_AG,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,2024-02-01,2024-02-29,10500,148,1.41,4740,23200,20.43,4.90
スマホ周辺機器_SP,スタンド_AG,B002CCDDEE,SKU-003,シリコン製スマホスタンド,2024-02-01,2024-02-29,19500,318,1.63,3816,23380,16.32,6.13
生活用品_SP,タオル_AG,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,2024-02-01,2024-02-29,8100,108,1.33,1620,14880,10.89,9.19
電子機器_SP,充電器_AG,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,2024-02-01,2024-02-29,16800,222,1.32,8880,34400,25.81,3.87
デスク周辺_SP,ライト_AG,B005KKLLMM,SKU-006,LEDデスクライト USB給電,2024-02-01,2024-02-29,12000,175,1.46,5250,19900,26.38,3.79
日用品_SP,傘_AG,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,2024-02-01,2024-02-29,8800,96,1.09,1440,9900,14.55,6.88
キッチン_SP,ブラシ_AG,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,2024-02-01,2024-02-29,5800,78,1.34,780,4960,15.73,6.36
音響機器_SP,イヤホン_AG,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,2024-02-01,2024-02-29,25000,358,1.43,14320,61200,23.40,4.27
スマホ周辺機器_SP,ホルダー_AG,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,2024-02-01,2024-02-29,9800,125,1.28,2500,11880,21.05,4.75
音響機器_SP,イヤーマフ_AG,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,2024-02-01,2024-02-29,8200,105,1.28,3150,13500,23.33,4.29
キッチン_SP,スポンジ_AG,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,2024-02-01,2024-02-29,13500,198,1.47,1980,20790,9.52,10.50
アウトドア_SP,チェア_AG,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,2024-02-01,2024-02-29,10200,142,1.39,5680,31200,18.21,5.49
電子機器_SP,ハブ_AG,B013GGHHUU,SKU-014,USB-Cハブ 7in1,2024-02-01,2024-02-29,17800,248,1.39,9920,61200,16.21,6.17
デスク周辺_SP,マウスパッド_AG,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,2024-02-01,2024-02-29,11000,158,1.44,4740,26820,17.67,5.66
日用品_SP,バッグ_AG,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,2024-02-01,2024-02-29,7200,95,1.32,950,16830,5.65,17.72
スマホ周辺機器_SP,ケース_AG,B016MMNNRR,SKU-017,防水スマホケース 汎用,2024-02-01,2024-02-29,12200,172,1.41,3440,17910,19.21,5.21
キッチン_SP,ストロー_AG,B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,2024-02-01,2024-02-29,5500,72,1.31,720,9520,7.56,13.22
生活用品_SP,ディフューザー_AG,B018QQRRPP,SKU-019,アロマディフューザー USB式,2024-02-01,2024-02-29,9200,128,1.39,2560,17880,14.32,6.98
美容健康_SP,鼻毛カッター_AG,B019SSTTUQ,SKU-020,電動鼻毛カッター,2024-02-01,2024-02-29,10500,148,1.41,2960,19900,14.87,6.72
水筒シリーズ_SP,水筒シルバー_AG,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,2024-03-01,2024-03-31,15800,245,1.55,8575,52200,16.43,6.09
水筒シリーズ_SP,水筒ブラック_AG,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,2024-03-01,2024-03-31,12200,175,1.43,5600,40600,13.79,7.25
スマホ周辺機器_SP,スタンド_AG,B002CCDDEE,SKU-003,シリコン製スマホスタンド,2024-03-01,2024-03-31,22000,365,1.66,4380,31390,13.96,7.17
生活用品_SP,タオル_AG,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,2024-03-01,2024-03-31,9500,128,1.35,1920,22360,8.59,11.65
電子機器_SP,充電器_AG,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,2024-03-01,2024-03-31,19500,265,1.36,10600,60200,17.61,5.68
デスク周辺_SP,ライト_AG,B005KKLLMM,SKU-006,LEDデスクライト USB給電,2024-03-01,2024-03-31,14500,210,1.45,6300,31840,19.79,5.05
日用品_SP,傘_AG,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,2024-03-01,2024-03-31,10200,115,1.13,1725,15840,10.89,9.19
キッチン_SP,ブラシ_AG,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,2024-03-01,2024-03-31,6800,95,1.40,950,8940,10.63,9.41
音響機器_SP,イヤホン_AG,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,2024-03-01,2024-03-31,28500,412,1.45,16480,88400,18.64,5.37
スマホ周辺機器_SP,ホルダー_AG,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,2024-03-01,2024-03-31,11200,145,1.29,2900,17820,16.27,6.15
音響機器_SP,イヤーマフ_AG,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,2024-03-01,2024-03-31,9500,125,1.32,3750,31500,11.90,8.40
キッチン_SP,スポンジ_AG,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,2024-03-01,2024-03-31,15500,228,1.47,2280,25740,8.86,11.29
アウトドア_SP,チェア_AG,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,2024-03-01,2024-03-31,12500,178,1.42,7120,54600,13.04,7.67
電子機器_SP,ハブ_AG,B013GGHHUU,SKU-014,USB-Cハブ 7in1,2024-03-01,2024-03-31,20500,295,1.44,11800,102000,11.57,8.64
デスク周辺_SP,マウスパッド_AG,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,2024-03-01,2024-03-31,12800,185,1.45,5550,35760,15.52,6.44
日用品_SP,バッグ_AG,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,2024-03-01,2024-03-31,8500,115,1.35,1150,23760,4.84,20.66
スマホ周辺機器_SP,ケース_AG,B016MMNNRR,SKU-017,防水スマホケース 汎用,2024-03-01,2024-03-31,14500,205,1.41,4100,37890,10.82,9.24
キッチン_SP,ストロー_AG,B017OOPPQQ,SKU-018,ステンレスストロー 8本セット,2024-03-01,2024-03-31,6200,85,1.37,850,15470,5.50,18.20
生活用品_SP,ディフューザー_AG,B018QQRRPP,SKU-019,アロマディフューザー USB式,2024-03-01,2024-03-31,10800,152,1.41,3040,26840,11.33,8.83
美容健康_SP,鼻毛カッター_AG,B019SSTTUQ,SKU-020,電動鼻毛カッター,2024-03-01,2024-03-31,12500,178,1.42,3560,27910,12.76,7.84
