注文日,ASIN,SKU,商品名,注文番号,販売チャネル,フルフィルメント,数量,売上高,Amazon手数料率(%),Amazon手数料,FBA配送料,FBA保管料,原価,広告費割当,返品数,返品額
2024-01-05,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000001,Amazon.co.jp,FBA,2,5800,15,870,300,50,2200,290,0,0
2024-01-06,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,112-1234567-0000002,Amazon.co.jp,FBA,1,2900,15,435,300,50,1100,145,0,0
2024-01-07,B002CCDDEE,SKU-003,シリコン製スマホスタンド,112-1234567-0000003,Amazon.co.jp,FBA,3,4470,15,671,270,30,900,224,0,0
2024-01-08,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,112-1234567-0000004,Amazon.co.jp,FBA,1,2480,15,372,250,20,800,124,0,0
2024-01-09,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000005,Amazon.co.jp,FBA,1,2900,15,435,300,50,1100,145,0,0
2024-01-10,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000006,Amazon.co.jp,FBA,2,8600,15,1290,350,80,3200,430,0,0
2024-01-11,B005KKLLMM,SKU-006,LEDデスクライト USB給電,112-1234567-0000007,Amazon.co.jp,FBA,1,3980,15,597,320,60,1500,199,0,0
2024-01-12,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,112-1234567-0000008,Amazon.co.jp,FBA,2,5800,15,870,300,50,2200,290,0,0
2024-01-13,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,112-1234567-0000009,Amazon.co.jp,FBA,1,1980,15,297,250,20,700,99,0,0
2024-01-14,B002CCDDEE,SKU-003,シリコン製スマホスタンド,112-1234567-0000010,Amazon.co.jp,FBA,2,2980,15,447,270,30,600,149,0,0
2024-01-15,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,112-1234567-0000011,Amazon.co.jp,FBA,4,5960,15,894,280,40,1600,298,0,0
2024-01-16,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000012,Amazon.co.jp,FBA,1,4300,15,645,350,80,1600,215,0,0
2024-01-17,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000013,Amazon.co.jp,FBA,1,6800,15,1020,380,90,2800,340,0,0
2024-01-18,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000014,Amazon.co.jp,FBA,3,8700,15,1305,300,50,3300,435,0,0
2024-01-19,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,112-1234567-0000015,Amazon.co.jp,FBA,2,3960,15,594,280,30,1200,198,0,0
2024-01-20,B005KKLLMM,SKU-006,LEDデスクライト USB給電,112-1234567-0000016,Amazon.co.jp,FBA,2,7960,15,1194,320,60,3000,398,0,0
2024-01-21,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,112-1234567-0000017,Amazon.co.jp,FBA,1,4500,15,675,350,70,1800,225,0,0
2024-01-22,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,112-1234567-0000018,Amazon.co.jp,FBA,3,5940,15,891,250,20,2100,297,1,1980
2024-01-23,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,112-1234567-0000019,Amazon.co.jp,FBA,2,4960,15,744,250,20,1600,248,0,0
2024-01-24,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,112-1234567-0000020,Amazon.co.jp,FBA,5,4950,15,743,270,25,1500,248,0,0
2024-01-25,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000021,Amazon.co.jp,FBA,2,13600,15,2040,380,90,5600,680,0,0
2024-01-26,B002CCDDEE,SKU-003,シリコン製スマホスタンド,112-1234567-0000022,Amazon.co.jp,FBA,4,5960,15,894,270,30,1200,298,0,0
2024-01-27,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,112-1234567-0000023,Amazon.co.jp,FBA,1,1980,15,297,280,30,600,99,0,0
2024-01-28,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,112-1234567-0000024,Amazon.co.jp,FBA,1,7800,15,1170,420,150,3500,390,0,0
2024-01-29,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000025,Amazon.co.jp,FBA,2,5800,15,870,300,50,2200,290,0,0
2024-01-30,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,112-1234567-0000026,Amazon.co.jp,FBA,2,9000,15,1350,350,70,3600,450,0,0
2024-02-01,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000027,Amazon.co.jp,FBA,3,12900,15,1935,350,80,4800,645,0,0
2024-02-02,B013GGHHUU,SKU-014,USB-Cハブ 7in1,112-1234567-0000028,Amazon.co.jp,FBA,1,6800,15,1020,350,80,2900,340,0,0
2024-02-03,B007QQRRSS,SKU-008,ウォーターボトルブラシ セット,112-1234567-0000029,Amazon.co.jp,FBA,2,2980,15,447,280,40,800,149,0,0
2024-02-04,B001AABBCD,SKU-002,ステンレス水筒 500ml ブラック,112-1234567-0000030,Amazon.co.jp,FBA,3,8700,15,1305,300,50,3300,435,0,0
2024-02-05,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,112-1234567-0000031,Amazon.co.jp,FBA,2,5960,15,894,300,60,2200,298,0,0
2024-02-06,B005KKLLMM,SKU-006,LEDデスクライト USB給電,112-1234567-0000032,Amazon.co.jp,FBA,1,3980,15,597,320,60,1500,199,0,0
2024-02-07,B012EEFFVV,SKU-013,アウトドア折りたたみチェア,112-1234567-0000033,Amazon.co.jp,FBA,2,15600,15,2340,420,150,7000,780,0,0
2024-02-08,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000034,Amazon.co.jp,FBA,1,6800,15,1020,380,90,2800,340,0,0
2024-02-09,B003EEFFGG,SKU-004,マイクロファイバータオル 3枚組,112-1234567-0000035,Amazon.co.jp,FBA,3,7440,15,1116,250,20,2400,372,0,0
2024-02-10,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,112-1234567-0000036,Amazon.co.jp,FBA,5,4950,15,743,260,20,1250,248,0,0
2024-02-11,B013GGHHUU,SKU-014,USB-Cハブ 7in1,112-1234567-0000037,Amazon.co.jp,FBA,2,13600,15,2040,350,80,5800,680,0,0
2024-02-12,B009WWXXYY,SKU-010,車用スマホホルダー 磁気式,112-1234567-0000038,Amazon.co.jp,FBA,3,5940,15,891,280,30,1800,297,0,0
2024-02-13,B001AABBCC,SKU-001,ステンレス水筒 500ml シルバー,112-1234567-0000039,Amazon.co.jp,FBA,4,11600,15,1740,300,50,4400,580,0,0
2024-02-14,B014IIIJJTT,SKU-015,ゲーミングマウスパッド XL,112-1234567-0000040,Amazon.co.jp,FBA,3,8940,15,1341,300,60,3300,447,1,2980
2024-02-15,B011CCDDWW,SKU-012,キッチンスポンジ 10個入り,112-1234567-0000041,Amazon.co.jp,FBA,8,7920,15,1188,270,25,2400,396,0,0
2024-02-16,B004HHIIJJ,SKU-005,ポータブル充電器 10000mAh,112-1234567-0000042,Amazon.co.jp,FBA,2,8600,15,1290,350,80,3200,430,0,0
2024-02-17,B016MMNNRR,SKU-017,防水スマホケース 汎用,112-1234567-0000043,Amazon.co.jp,FBA,4,7960,15,1194,280,30,2000,398,0,0
2024-02-18,B002CCDDEE,SKU-003,シリコン製スマホスタンド,112-1234567-0000044,Amazon.co.jp,FBA,5,7450,15,1118,270,30,1500,373,0,0
2024-02-19,B010AABBZZ,SKU-011,ノイズキャンセリングイヤーマフ,112-1234567-0000045,Amazon.co.jp,FBA,1,4500,15,675,350,70,1800,225,0,0
2024-02-20,B015KKLLSS,SKU-016,折りたたみショッピングバッグ,112-1234567-0000046,Amazon.co.jp,FBA,6,5940,15,891,260,20,1500,297,0,0
2024-02-21,B008TTUUVV,SKU-009,ワイヤレスイヤホン スポーツ用,112-1234567-0000047,Amazon.co.jp,FBA,3,20400,15,3060,380,90,8400,1020,0,0
2024-02-22,B006NNOOPP,SKU-007,折りたたみ傘 コンパクト,112-1234567-0000048,Amazon.co.jp,FBA,2,3960,15,594,250,20,1400,198,0,0
2024-02-23,B013GGHHUU,SKU-014,USB-Cハブ 7in1,112-1234567-0000049,Amazon.co.jp,FBA,1,6800,15,1020,350,80,2900,340,0,0
